name;isin;quantity;buyingPrice;lastPrice;intradayVariation;amount;amountVariation;variation;lastMovementDate;compensation
"AIR LIQUIDE";FR0000120073;2,00;182,05;166,90;0,13;333,80;-30,29;-8,31;2026-03-10;
"AMUNDI CAC 40 UCITS ETF DIST";FR0007052782;36,00;77,93;84,99;0,44;"3 059,64";254,15;9,06;2026-03-19;
"AMUNDI EURO STOXX 50 II UCITS ETF ACC";FR0007054358;12,00;62,90;71,55;0,63;858,60;103,76;13,75;2026-03-10;
ENGIE;FR0010208488;8,00;13,88;26,96;-0,59;215,68;104,63;94,22;2026-05-05;
"AMUNDI PEA ASIE PACIFIQUE (MSCI AC ASIA PACIFIC EX JAPAN) UCITS ETF ACC";FR0011869312;67,00;22,02;28,07;1,96;"1 880,35";404,80;27,43;2026-04-23;
"AMUNDI PEA EMERGENT (MSCI EMERGING) ESG TRANSITION UCITS ETF";FR0013412020;20,00;30,48;37,14;2,02;742,76;133,21;21,85;2026-03-19;
"AMUNDI PEA S&P 500 SCREENED UCITS ETF - ACC";FR0013412285;13,00;45,98;53,86;0,68;700,21;102,45;17,14;2026-03-19;
"PEA PROFILE OFFENSIF SELECT C";FR001400AED5;9,98;134,85;147,09;0,63;"1 468,01";122,15;9,08;2026-04-09;
"AMUNDI DAX II UCITS ETF ACC";LU0252633754;10,00;189,85;226,80;0,33;"2 268,00";369,52;19,46;2026-03-19;
"AMUNDI RUSSELL 2000 UCITS ETF - EUR";LU1681038672;1,00;322,94;384,50;0,62;384,49;61,55;19,06;2026-03-19;
"AMUNDI MSCI WORLD SWAP UCITS ETF EUR ACC";LU1681043599;2,00;599,63;676,27;0,36;"1 352,53";153,27;12,78;2026-04-23;
"AMUNDI STOXX EUROPE 600 INDUSTRIALS UCITS ETF ACC";LU1834987890;7,00;135,29;152,38;0,22;"1 066,68";119,66;12,64;2026-03-19;
STMICROELECTRONICS;NL0000226223;12,00;26,78;65,16;4,19;781,92;460,57;143,32;2025-10-27;
